file_path,mode_index,affinity_kcal_mol,rmsd_lb,rmsd_ub
results/docking/poses/curcumin-mmp8.pdbqt,1,-7.7,0.0,0.0
results/docking/poses/curcumin-mmp8.pdbqt,2,-7.7,0.38,11.427
results/docking/poses/curcumin-mmp8.pdbqt,3,-7.7,18.494,21.336
results/docking/poses/curcumin-mmp8.pdbqt,4,-7.5,20.043,22.81
results/docking/poses/curcumin-mmp8.pdbqt,5,-7.5,19.5,21.938
results/docking/poses/curcumin-mmp8.pdbqt,6,-7.5,3.16,10.013
results/docking/poses/curcumin-mmp8.pdbqt,7,-7.4,19.303,21.301
results/docking/poses/curcumin-mmp8.pdbqt,8,-7.4,3.463,5.222
results/docking/poses/curcumin-mmp8.pdbqt,9,-7.3,19.834,21.938
results/docking/poses/propranolol.pdbqt,1,-7.6,0.0,0.0
results/docking/poses/propranolol.pdbqt,2,-7.2,3.062,5.075
results/docking/poses/propranolol.pdbqt,3,-7.0,29.612,31.937
results/docking/poses/propranolol.pdbqt,4,-6.9,4.876,7.464
results/docking/poses/propranolol.pdbqt,5,-6.9,3.704,5.619
results/docking/poses/propranolol.pdbqt,6,-6.9,4.123,6.164
results/docking/poses/propranolol.pdbqt,7,-6.8,4.983,7.665
results/docking/poses/propranolol.pdbqt,8,-6.7,76.29,79.007
results/docking/poses/propranolol.pdbqt,9,-6.7,78.711,81.347
results/docking/poses/quercetin-mmp9.pdbqt,1,-9.7,0.0,0.0
results/docking/poses/quercetin-mmp9.pdbqt,2,-9.6,29.31,32.09
results/docking/poses/quercetin-mmp9.pdbqt,3,-9.5,2.245,7.396
results/docking/poses/quercetin-mmp9.pdbqt,4,-9.2,30.607,33.276
results/docking/poses/quercetin-mmp9.pdbqt,5,-9.1,3.309,8.1
results/docking/poses/quercetin-mmp9.pdbqt,6,-9.0,32.979,35.499
results/docking/poses/quercetin-mmp9.pdbqt,7,-8.7,31.436,34.032
results/docking/poses/quercetin-mmp9.pdbqt,8,-8.7,2.559,8.36
results/docking/poses/quercetin-mmp9.pdbqt,9,-8.6,3.021,5.345
